t,u1,u2,u3,f1,f2
0.6902301,0.8615448,0.04144025,0.0012976527,-0.024219647,-5.5134296e-06
0.6935645,0.8615448,0.04144025,0.0012976527,-0.024219647,-5.5134296e-06
0.69689894,0.8615448,0.04144025,0.0012976527,-0.024219647,-5.5134296e-06
0.7002334,0.8615448,0.04144025,0.0012976527,-0.024219647,-5.5134296e-06
0.70356786,0.8615448,0.04144025,0.0012976527,-0.024219647,-5.5134296e-06
0.70690227,0.8615448,0.04144025,0.0012976527,-0.024219647,-5.5134296e-06
0.7102367,0.8615448,0.04144025,0.0012976527,-0.024219647,-5.5134296e-06
0.7135712,0.8615448,0.04144025,0.0012976527,-0.024219647,-5.5134296e-06
0.7169056,0.8615448,0.04144025,0.0012976527,-0.024219647,-5.5134296e-06
0.72024006,0.8615448,0.04144025,0.0012976527,-0.024219647,-5.5134296e-06
0.7235745,0.8615448,0.04144025,0.0012976527,-0.024219647,-5.5134296e-06
0.7269089,0.8615448,0.04144025,0.0012976527,-0.024219647,-5.5134296e-06
0.7302434,0.8615448,0.04144025,0.0012976527,-0.024219647,-5.5134296e-06
0.73357785,0.8615448,0.04144025,0.0012976527,-0.024219647,-5.5134296e-06
0.7369123,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.7402467,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.7435812,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.74691564,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.75025004,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.7535845,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.75691897,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.76025337,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.76358783,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.7669223,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.77025676,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.77359116,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.7769256,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.7802601,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.7835945,0.8615448,0.04144025,0.0012976527,-0.024219677,-5.5134296e-06
0.78692895,0.8615448,0.04144025,0.0012976527,-0.024219558,-5.5134296e-06
0.7902634,0.8615448,0.04144025,0.0012976527,-0.024219558,-5.5134296e-06
0.7935978,0.8615448,0.04144025,0.0012976527,-0.024219558,-5.5134296e-06
0.7969323,0.8615448,0.04144025,0.0012976527,-0.024219558,-5.5134296e-06
0.80026674,0.8615448,0.04144025,0.0012976527,-0.024219558,-5.5134296e-06
0.8036012,0.8615448,0.04144025,0.0012976527,-0.024219558,-5.5134296e-06
0.8069356,0.8615448,0.04144025,0.0012976527,-0.024219558,-5.5134296e-06
0.8102701,0.8615448,0.04144025,0.0012976527,-0.024219558,-5.5134296e-06
0.81360453,0.8615448,0.04144025,0.0012976527,-0.024219558,-5.5134296e-06
0.81693894,0.8615448,0.04144025,0.0012976527,-0.024219558,-5.5134296e-06
0.8202734,0.8615448,0.04144025,0.0012976527,-0.024219558,-5.5134296e-06
0.82360786,0.8615448,0.04144025,0.0012976527,-0.024219558,-5.5134296e-06
0.82694227,0.8615448,0.04144025,0.0012976527,-0.024219558,-5.5134296e-06
0.8302767,0.8615448,0.04144025,0.0012976527,-0.024219558,-5.5134296e-06
0.8336112,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.83694565,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.84028006,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.8436145,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.846949,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.8502834,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.85361785,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.8569523,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.8602867,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.8636212,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.86695564,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.87029004,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.8736245,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.87695897,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.8802934,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.88362783,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.8869623,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.89029676,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.89363116,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.8969656,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9003001,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9036345,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.90696895,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9103034,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9136379,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9169723,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
